Handle,Title,Description,Brand,Price,MRP,Warranty,Stock Status,Status
"cp-plus-2-4-mp-4-camera-setup","CP PLUS 2.4 MP - 4 Camera Full Setup 2Dom and 2Bullet Analogue Dual Light cameras","CP PLUS 2.4 MP - 4 Camera Full Setup containing 2 Dome and 2 Bullet Analogue Dual Light cameras. Complete set without hard drive. Includes DVR 8CH, 10amps SMPS, 4 Cameras, and 100Mtr CCTV wire.","CP PLUS",17999,24999,"1 Year","In Stock","active"
"cp-plus-2-4-mp-8-camera-setup","CP PLUS 2.4 MP - 8 Camera Full Setup 4Dom and 4Bullet Analogue Dual Light cameras","CP PLUS 2.4 MP - 8 Camera Full Setup containing 4 Dome and 4 Bullet Analogue Dual Light cameras. Complete set without hard drive. Includes DVR 8CH, 10amps SMPS, 8 Cameras, and 100Mtr CCTV wire.","CP PLUS",25999,33999,"1 Year","In Stock","active"
"cp-plus-5-mp-4-camera-setup","CP PLUS 5 MP - 4 Camera Full Setup 2Dom and 2Bullet Analogue Dual Light cameras","CP PLUS 5 MP - 4 Camera Full Setup containing 2 Dome and 2 Bullet Analogue Dual Light cameras. Complete set without hard drive. Includes DVR 8CH, 10amps SMPS, 4 Cameras, and 100Mtr CCTV wire.","CP PLUS",23999,31999,"1 Year","In Stock","active"
"cp-plus-5-mp-8-camera-setup","CP PLUS 5 MP - 8 Camera Full Setup 4Dom and 4Bullet Analogue Dual Light cameras","CP PLUS 5 MP - 8 Camera Full Setup containing 4 Dome and 4 Bullet Analogue Dual Light cameras. Complete set without hard drive. Includes DVR 8CH, 10amps SMPS, 8 Cameras, and 100Mtr CCTV wire.","CP PLUS",33999,37999,"1 Year","In Stock","active"
"cp-plus-2mp-ip-16-camera-setup","CP PLUS 2MP IP 16 Camera Full Setup 4Dom and 12Bullet IP Dual Light cameras","CP PLUS 2MP IP 16 Camera Full Setup containing 4 Dome and 12 Bullet IP Dual Light cameras. Complete set without hard drive. Includes NVR 16CH, 2pcs POE 8CH, 16 Cameras, and 100Mtr Lan Cable.","CP PLUS",81999,129999,"1 Year","In Stock","active"
"cp-plus-2mp-ip-8-camera-setup","CP PLUS 2MP IP 8 Camera Full Setup 4Dom and 4Bullet IP Dual Light cameras","CP PLUS 2MP IP 8 Camera Full Setup containing 4 Dome and 4 Bullet IP Dual Light cameras. Complete set without hard drive. Includes NVR 8CH, 1pc POE 8CH, 8 Cameras, and 100Mtr Lan Cable.","CP PLUS",49999,75999,"1 Year","In Stock","active"
"cp-plus-2mp-ip-4-camera-setup","CP PLUS 2MP IP 4 Camera Full Setup 4Dom and 4Bullet IP Dual Light cameras","CP PLUS 2MP IP 4 Camera Full Setup containing 4 Dome and 4 Bullet IP Dual Light cameras. Complete set without hard drive. Includes NVR 8CH, 1pc POE 8CH, 4 Cameras, and 100Mtr Lan Cable.","CP PLUS",29999,47999,"1 Year","In Stock","active"
"cp-plus-4mp-ip-16-camera-setup","CP PLUS 4MP IP 16 Camera Full Setup 4Dom and 12Bullet IP Dual Light cameras","CP PLUS 4MP IP 16 Camera Full Setup containing 4 Dome and 12 Bullet IP Dual Light cameras. Complete set without hard drive. Includes NVR 16CH, 2pcs POE 8CH, 16 Cameras, and 100Mtr CCTV wire.","CP PLUS",99999,145999,"1 Year","In Stock","active"
"cp-plus-4mp-ip-8-camera-setup","CP PLUS 4MP IP 8 Camera Full Setup 4Dom and 4Bullet IP Dual Light cameras","CP PLUS 4MP IP 8 Camera Full Setup containing 4 Dome and 4 Bullet IP Dual Light cameras. Complete set without hard drive. Includes NVR 16CH, 1pc POE 8CH, 8 Cameras, and 100Mtr CCTV wire.","CP PLUS",75999,95999,"1 Year","In Stock","active"
"cp-plus-4mp-ip-4-camera-setup","CP PLUS 4MP IP 4 Camera Full Setup 4Dom and 4Bullet IP Dual Light cameras","CP PLUS 4MP IP 4 Camera Full Setup containing 4 Dome and 4 Bullet IP Dual Light cameras. Complete set without hard drive. Includes NVR 16CH, 1pc POE 8CH, 4 Cameras, and 100Mtr CCTV wire.","CP PLUS",39999,145999,"1 Year","In Stock","active"
"seagate-1-tb-hdd-surveillance","Seagate 1 TB HDD Surveillance","Seagate Surveillance HDD 1 TB storage drive built for 24/7 video capture systems. Offers high performance and reliability for multiple security camera feeds.","Seagate",11999,14999,"3 Years","In Stock","active"
"seagate-2tb-hdd-surveillance","Seagate 2TB HDD Surveillance","Seagate Surveillance HDD 2 TB storage drive built for 24/7 video capture systems. Provides expanded capacity for longer video archive retention.","Seagate",13999,17999,"3 Years","In Stock","active"
"consistent-500gb-hdd","Consistant 500GB HDD","Consistant 500 GB Hard Disk Drive for surveillance and desktop computer storage. Reliable budget storage solution.","Consistant",5999,7999,"2 Years","In Stock","active"
"consistent-1tb-hdd","Consistant 1TB HDD","Consistant 1 TB Hard Disk Drive for surveillance and desktop computer storage. High performance budget storage drive.","Consistant",8999,11999,"2 Years","In Stock","active"
