Handle ID,Type,Title,Brand,Description,Product Detail,Image Link,Warranty Details,Stock Status,Status
"ed1082a2-b9b9-4261-86b4-d6727d699cf1","product","SanDisk Ultra 64GB USB 3.0 Flash Drive","SanDisk","<p>Step up to high-speed USB 3.0 and transfer your videos, photos, and files faster. The SanDisk Ultra USB 3.0 Flash Drive offers transfer speeds of up to 130MB/s.</p><ul><li><b>Capacity:</b> 64GB</li><li><b>Interface:</b> USB 3.0 (USB 3.2 Gen 1)</li><li><b>Speed:</b> Read speeds up to 130MB/s.</li><li><b>Design:</b> Sleek, durable design with a retractable connector.</li><li><b>Security:</b> Includes SanDisk SecureAccess software.</li></ul>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370582721-n9lb73vlt6f.webp","","In Stock","active"
"38b98894-aeb8-411e-9c89-3d4b0e1a2c21","product","EVM 128GB M.2 NVMe SSD (EVMNV/128GB)-- 520MB/s Read & 370MB/s Write ","EVM","<p>Experience next-level performance with the EVM 128GB M.2 NVMe SSD. Utilizing the PCIe Gen3x4 interface, it delivers significantly faster speeds than traditional SATA SSDs.</p><ul><li><b>Capacity:</b> 128GB</li><li><b>Form Factor:</b> M.2 2280</li><li><b>Interface:</b> PCIe Gen3x4 NVMe 1.3</li><li><b>Warranty:</b> 5-Year Warranty</li></ul><p>Ideal for ultra-thin notebooks and high-performance desktops.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761884710935-xjj9ae8b03c.jpg","","In Stock","active"
"1b15c2f8-739a-4bb1-a5fd-ff08b6d5d079","product","SanDisk Ultra 256GB USB 3.0 Flash Drive","SanDisk","<p>Step up to high-speed USB 3.0 and transfer your videos, photos, and files faster. The SanDisk Ultra USB 3.0 Flash Drive offers transfer speeds of up to 130MB/s and a massive 256GB capacity.</p><ul><li><b>Capacity:</b> 256GB</li><li><b>Interface:</b> USB 3.0 (USB 3.2 Gen 1)</li><li><b>Speed:</b> Read speeds up to 130MB/s.</li><li><b>Design:</b> Sleek, durable design with a retractable connector.</li><li><b>Security:</b> Includes SanDisk SecureAccess software.</li></ul>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370693654-jvcqsjw83b.webp","","In Stock","active"
"75f176c3-ce35-4ebd-a730-807d3a71109b","product","EVM 256GB M.2 NVMe SSD (EVMNV/256GB) 540MB/s Read & 450MB/s Write","EVM","<p>Experience next-level performance with the EVM 256GB M.2 NVMe SSD. Utilizing the PCIe Gen3x4 interface, it delivers significantly faster speeds than traditional SATA SSDs.</p><ul><li><b>Capacity:</b> 256GB</li><li><b>Form Factor:</b> M.2 2280</li><li><b>Interface:</b> PCIe Gen3x4 NVMe 1.3</li><li><b>Warranty:</b> 5-Year Warranty</li></ul><p>Ideal for ultra-thin notebooks and high-performance desktops.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761885209995-izrwfltf6uh.jpg","","In Stock","active"
"23dddbf6-5d5f-442e-9512-82b411b73c56","product","EVM 1TB 2.5-inch SATA SSD (EVM25/1TB)","EVM","<p>Boost your laptop or desktop PC performance with the EVM 1TB SATA SSD. Experience faster boot-ups, quicker application loads, and improved overall system responsiveness with ample storage.</p><ul><li><b>Capacity:</b> 1TB</li><li><b>Form Factor:</b> 2.5-inch</li><li><b>Interface:</b> SATA III (6Gb/s)</li><li><b>Technology:</b> 3D NAND</li><li><b>Warranty:</b> 5-Year Warranty</li></ul><p>A perfect high-capacity upgrade to breathe new life into an aging computer.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370475038-fzko1nfj2av.webp","","In Stock","active"
"1518cdd8-4718-4d29-815e-18b871d241f8","product","EVM 256GB 2.5-inch SATA SSD (EVM25/256)","EVM","<p>Boost your laptop or desktop PC performance with the EVM 256GB SATA SSD. Experience faster boot-ups, quicker application loads, and improved overall system responsiveness.</p><ul><li><b>Capacity:</b> 256GB</li><li><b>Form Factor:</b> 2.5-inch</li><li><b>Interface:</b> SATA III (6Gb/s)</li><li><b>Technology:</b> 3D NAND</li><li><b>Warranty:</b> 5-Year Warranty</li></ul><p>A perfect upgrade to breathe new life into an aging computer.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370373355-q7aa8mn566.webp","","In Stock","active"
"473d9ffa-55bb-43cc-b867-fee5f931eedc","product","SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive","SanDisk","<p>The SanDisk Cruzer Blade USB 2.0 Flash Drive offers a compact, stylish design and ample capacity.</p><ul><li><b>Capacity:</b> 64GB</li><li><b>Interface:</b> USB 2.0</li><li><b>Design:</b> Ultra-compact and portable contoured styling.</li><li><b>Software:</b> Includes SanDisk SecureAccess software for password protection.</li></ul><p>A reliable and easy way to store, share, and transfer your photos, videos, music, and other files.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370453256-iqial5wsvkm.webp","","In Stock","active"
"072a5a0b-2de9-47ce-a34e-95e3c1925a08","product","EVM 128GB 2.5-inch SATA SSD (EVM25/128)","EVM","<p>Boost your laptop or desktop PC performance with the EVM 128GB SATA SSD. Experience faster boot-ups, quicker application loads, and improved overall system responsiveness.</p><ul><li><b>Capacity:</b> 128GB</li><li><b>Form Factor:</b> 2.5-inch</li><li><b>Interface:</b> SATA III (6Gb/s)</li><li><b>Technology:</b> 3D NAND</li><li><b>Warranty:</b> 5-Year Warranty</li></ul><p>A perfect upgrade to breathe new life into an aging computer.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370785037-68ebbl9vxdf.webp","","In Stock","active"
"71d74526-377a-449c-b397-cc5271c9e8ea","product","SanDisk Cruzer Blade 128GB USB 2.0 Flash Drive","SanDisk","<p>The SanDisk Cruzer Blade USB 2.0 Flash Drive offers a compact, stylish design and a large 128GB capacity.</p><ul><li><b>Capacity:</b> 128GB</li><li><b>Interface:</b> USB 2.0</li><li><b>Design:</b> Ultra-compact and portable contoured styling.</li><li><b>Software:</b> Includes SanDisk SecureAccess software for password protection.</li></ul><p>A reliable and easy way to store, share, and transfer your photos, videos, music, and other files.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370734725-qc76c8x8cns.webp","","In Stock","active"
"daf33415-d657-4f40-b8b7-f12377553648","product","EVM 512GB 2.5-inch SATA SSD (EVM25/512)","EVM","<p>Boost your laptop or desktop PC performance with the EVM 512GB SATA SSD. Experience faster boot-ups, quicker application loads, and improved overall system responsiveness.</p><ul><li><b>Capacity:</b> 512GB</li><li><b>Form Factor:</b> 2.5-inch</li><li><b>Interface:</b> SATA III (6Gb/s)</li><li><b>Technology:</b> 3D NAND</li><li><b>Warranty:</b> 5-Year Warranty</li></ul><p>A perfect upgrade to breathe new life into an aging computer.</p>","","https://fbcsagupcxheyiusjfak.supabase.co/storage/v1/object/public/images/products/1761370428482-a9611y6x4k8.webp","","In Stock","active"
